order_id,client_id,account_id,instrument_id,order_type,side,quantity,price,executed_price,status,idempotency_key,external_order_id,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,1,1,RELIANCE,HOLDING,BUY,40,2875.5000,2875.5000,FILLED,ord-1001-aarav-rel-buy,EXT-000001,2026-01-05 09:16:00,2026-01-05 09:17:00
550e8400-e29b-41d4-a716-446655440002,1,1,RELIANCE,HOLDING,BUY,20,2910.2500,2910.2500,FILLED,ord-1002-aarav-rel-add,EXT-000002,2026-01-05 09:18:00,2026-01-05 09:19:00
550e8400-e29b-41d4-a716-446655440003,1,1,RELIANCE,HOLDING,SELL,15,2950.0000,2950.0000,FILLED,ord-1003-aarav-rel-trim,EXT-000003,2026-01-05 09:20:00,2026-01-05 09:21:00
550e8400-e29b-41d4-a716-446655440004,1,1,TCS,POSITION,BUY,25,3840.0000,3840.0000,FILLED,ord-1004-aarav-tcs-in,EXT-000004,2026-01-05 09:22:00,2026-01-05 09:23:00
550e8400-e29b-41d4-a716-446655440005,1,1,TCS,POSITION,SELL,25,3902.7500,3902.7500,FILLED,ord-1005-aarav-tcs-out,EXT-000005,2026-01-05 09:24:00,2026-01-05 09:25:00
550e8400-e29b-41d4-a716-446655440006,2,2,INFY,HOLDING,BUY,60,1562.0000,1562.0000,FILLED,ord-1006-diya-infy-buy,EXT-000006,2026-01-05 09:26:00,2026-01-05 09:27:00
550e8400-e29b-41d4-a716-446655440007,2,2,HDFCBANK,POSITION,SELL,30,1698.5000,1698.5000,FILLED,ord-1007-diya-hdfc-short,EXT-000007,2026-01-05 09:28:00,2026-01-05 09:29:00
550e8400-e29b-41d4-a716-446655440008,2,2,ICICIBANK,HOLDING,BUY,100,1042.0000,,REJECTED,ord-1008-diya-icici-buy,,2026-01-05 09:30:00,2026-01-05 09:31:00
550e8400-e29b-41d4-a716-446655440009,3,3,RELIANCE,HOLDING,BUY,150,2860.0000,2860.0000,FILLED,ord-1009-rohan-rel-buy,EXT-000009,2026-01-05 09:32:00,2026-01-05 09:33:00
550e8400-e29b-41d4-a716-446655440010,3,3,ITC,HOLDING,BUY,500,412.7500,412.7500,FILLED,ord-1010-rohan-itc-buy,EXT-000010,2026-01-05 09:34:00,2026-01-05 09:35:00
550e8400-e29b-41d4-a716-446655440011,3,3,ITC,HOLDING,SELL,200,425.0000,425.0000,FILLED,ord-1011-rohan-itc-trim,EXT-000011,2026-01-05 09:36:00,2026-01-05 09:37:00
550e8400-e29b-41d4-a716-446655440012,3,3,TATAMOTORS,POSITION,BUY,120,918.4000,918.4000,FILLED,ord-1012-rohan-tata-in,EXT-000012,2026-01-05 09:38:00,2026-01-05 09:39:00
550e8400-e29b-41d4-a716-446655440013,3,3,TATAMOTORS,POSITION,BUY,80,930.1500,930.1500,FILLED,ord-1013-rohan-tata-add,EXT-000013,2026-01-05 09:40:00,2026-01-05 09:41:00
550e8400-e29b-41d4-a716-446655440014,3,3,INFY,HOLDING,BUY,25,1571.2500,,NEW,ord-1014-rohan-infy-buy,,2026-01-05 09:42:00,2026-01-05 09:42:00
550e8400-e29b-41d4-a716-446655440015,3,3,TCS,POSITION,BUY,10,3888.0000,,NEW,ord-1015-rohan-tcs-new,,2026-01-05 09:43:00,2026-01-05 09:43:00
550e8400-e29b-41d4-a716-446655440016,4,4,ICICIBANK,HOLDING,BUY,45,1035.5000,1035.5000,FILLED,ord-1016-meera-icici-buy,EXT-000016,2026-01-05 09:44:00,2026-01-05 09:45:00
550e8400-e29b-41d4-a716-446655440017,4,4,ICICIBANK,HOLDING,BUY,30,1050.0000,,REJECTED,ord-1017-meera-icici-add,,2026-01-05 09:46:00,2026-01-05 09:47:00
550e8400-e29b-41d4-a716-446655440018,5,5,HDFCBANK,POSITION,BUY,50,1705.0000,1705.0000,FILLED,ord-1018-vikram-hdfc-in,EXT-000018,2026-01-05 09:48:00,2026-01-05 09:49:00
550e8400-e29b-41d4-a716-446655440019,5,5,HDFCBANK,POSITION,SELL,50,1712.6000,1712.6000,FILLED,ord-1019-vikram-hdfc-out,EXT-000019,2026-01-05 09:50:00,2026-01-05 09:51:00
550e8400-e29b-41d4-a716-446655440020,5,5,LEGACYCORP,HOLDING,BUY,300,212.3000,212.3000,FILLED,ord-1020-vikram-legacy,EXT-000020,2026-01-05 09:52:00,2026-01-05 09:53:00
550e8400-e29b-41d4-a716-446655440021,5,5,LEGACYCORP,HOLDING,SELL,300,205.0000,,CANCELLED,ord-1021-vikram-legacy-x,,2026-01-05 09:54:00,2026-01-05 09:55:00
550e8400-e29b-41d4-a716-446655440022,6,6,RELIANCE,HOLDING,BUY,10,2799.0000,2799.0000,FILLED,ord-1022-sanya-rel-buy,EXT-000022,2026-01-05 09:56:00,2026-01-05 09:57:00
550e8400-e29b-41d4-a716-446655440023,6,6,RELIANCE,HOLDING,SELL,10,2830.5000,2830.5000,FILLED,ord-1023-sanya-rel-exit,EXT-000023,2026-01-05 09:58:00,2026-01-05 09:59:00
