history_id,order_id,event_type,previous_status,new_status,external_status,external_order_id,request_id,failure_code,failure_reason,event_timestamp,created_at,client_id,account_id,instrument_id,order_type,side,quantity,price,executed_price,idempotency_key,order_created_at
1,550e8400-e29b-41d4-a716-446655440001,CREATED,,NEW,,,req-000001,,,2026-01-05 09:16:00,2026-01-05 09:16:00,,,,,,,,,,
2,550e8400-e29b-41d4-a716-446655440001,FILLED,NEW,FILLED,FILLED,EXT-000001,req-000001,,,2026-01-05 09:17:00,2026-01-05 09:17:00,1,1,RELIANCE,HOLDING,BUY,40,2875.5000,2875.5000,ord-1001-aarav-rel-buy,2026-01-05 09:16:00
3,550e8400-e29b-41d4-a716-446655440002,CREATED,,NEW,,,req-000002,,,2026-01-05 09:18:00,2026-01-05 09:18:00,,,,,,,,,,
4,550e8400-e29b-41d4-a716-446655440002,FILLED,NEW,FILLED,FILLED,EXT-000002,req-000002,,,2026-01-05 09:19:00,2026-01-05 09:19:00,1,1,RELIANCE,HOLDING,BUY,20,2910.2500,2910.2500,ord-1002-aarav-rel-add,2026-01-05 09:18:00
5,550e8400-e29b-41d4-a716-446655440003,CREATED,,NEW,,,req-000003,,,2026-01-05 09:20:00,2026-01-05 09:20:00,,,,,,,,,,
6,550e8400-e29b-41d4-a716-446655440003,FILLED,NEW,FILLED,FILLED,EXT-000003,req-000003,,,2026-01-05 09:21:00,2026-01-05 09:21:00,1,1,RELIANCE,HOLDING,SELL,15,2950.0000,2950.0000,ord-1003-aarav-rel-trim,2026-01-05 09:20:00
7,550e8400-e29b-41d4-a716-446655440004,CREATED,,NEW,,,req-000004,,,2026-01-05 09:22:00,2026-01-05 09:22:00,,,,,,,,,,
8,550e8400-e29b-41d4-a716-446655440004,FILLED,NEW,FILLED,FILLED,EXT-000004,req-000004,,,2026-01-05 09:23:00,2026-01-05 09:23:00,1,1,TCS,POSITION,BUY,25,3840.0000,3840.0000,ord-1004-aarav-tcs-in,2026-01-05 09:22:00
9,550e8400-e29b-41d4-a716-446655440005,CREATED,,NEW,,,req-000005,,,2026-01-05 09:24:00,2026-01-05 09:24:00,,,,,,,,,,
10,550e8400-e29b-41d4-a716-446655440005,FILLED,NEW,FILLED,FILLED,EXT-000005,req-000005,,,2026-01-05 09:25:00,2026-01-05 09:25:00,1,1,TCS,POSITION,SELL,25,3902.7500,3902.7500,ord-1005-aarav-tcs-out,2026-01-05 09:24:00
11,550e8400-e29b-41d4-a716-446655440006,CREATED,,NEW,,,req-000006,,,2026-01-05 09:26:00,2026-01-05 09:26:00,,,,,,,,,,
12,550e8400-e29b-41d4-a716-446655440006,FILLED,NEW,FILLED,FILLED,EXT-000006,req-000006,,,2026-01-05 09:27:00,2026-01-05 09:27:00,2,2,INFY,HOLDING,BUY,60,1562.0000,1562.0000,ord-1006-diya-infy-buy,2026-01-05 09:26:00
13,550e8400-e29b-41d4-a716-446655440007,CREATED,,NEW,,,req-000007,,,2026-01-05 09:28:00,2026-01-05 09:28:00,,,,,,,,,,
14,550e8400-e29b-41d4-a716-446655440007,FILLED,NEW,FILLED,FILLED,EXT-000007,req-000007,,,2026-01-05 09:29:00,2026-01-05 09:29:00,2,2,HDFCBANK,POSITION,SELL,30,1698.5000,1698.5000,ord-1007-diya-hdfc-short,2026-01-05 09:28:00
15,550e8400-e29b-41d4-a716-446655440008,CREATED,,NEW,,,req-000008,,,2026-01-05 09:30:00,2026-01-05 09:30:00,,,,,,,,,,
16,550e8400-e29b-41d4-a716-446655440008,REJECTED,NEW,REJECTED,,,req-000008,ORD-400,insufficient funds in linked bank account,2026-01-05 09:31:00,2026-01-05 09:31:00,2,2,ICICIBANK,HOLDING,BUY,100,1042.0000,,ord-1008-diya-icici-buy,2026-01-05 09:30:00
